subset,split,code,script,name,family,words,documents,utf8_bytes,utf8_bytes_human,parquet_bytes,parquet_bytes_human,bible_ratio,wiki_ratio
dnj_Latn,train,dnj,Latn,Dan,Niger-Congo,498003,430,2173060,2.07MB,655313,639.95KB,1.000,0.000
dnj_Latn,test,dnj,Latn,Dan,Niger-Congo,1543,3,6828,6.67KB,7778,7.60KB,-,-
dnj_Latn_removed,train,dnj,Latn,Dan,Niger-Congo,-,928,1952076,1.86MB,665314,649.72KB,-,-
dnw_Latn,train,dnw,Latn,Western Dani,Trans-New Guinea,22563,41,118352,115.58KB,57574,56.22KB,0.220,0.000
dnw_Latn_removed,train,dnw,Latn,Western Dani,Trans-New Guinea,-,4728,3368223,3.21MB,1229757,1.17MB,-,-
dob_Latn,train,dob,Latn,Dobu,Austronesian,644345,569,3480862,3.32MB,984202,961.13KB,0.996,0.000
dob_Latn,test,dob,Latn,Dobu,Austronesian,8954,7,44972,43.92KB,17752,17.34KB,-,-
dob_Latn_removed,train,dob,Latn,Dobu,Austronesian,-,105,524536,512.24KB,146964,143.52KB,-,-
doi_Deva,train,doi,Deva,Dogri (macrolanguage),Indo-European,617515,1174,6983023,6.66MB,1876481,1.79MB,0.016,0.010
doi_Deva,test,doi,Deva,Dogri (macrolanguage),Indo-European,1682,10,18298,17.87KB,18598,18.16KB,-,-
doi_Deva_removed,train,doi,Deva,Dogri (macrolanguage),Indo-European,-,10390,43407486,41.40MB,9022028,8.60MB,-,-
dop_Latn,train,dop,Latn,Lukpa,Niger-Congo,594988,924,3300106,3.15MB,1064770,1.02MB,0.998,0.000
dop_Latn,test,dop,Latn,Lukpa,Niger-Congo,7402,9,40827,39.87KB,20825,20.34KB,-,-
dop_Latn_removed,train,dop,Latn,Lukpa,Niger-Congo,-,909,1650309,1.57MB,544470,531.71KB,-,-
dos_Latn,train,dos,Latn,Dogosé,Niger-Congo,1421,2,7535,7.36KB,8186,7.99KB,0.500,0.000
dos_Latn_removed,train,dos,Latn,Dogosé,Niger-Congo,-,41,29947,29.25KB,18227,17.80KB,-,-
dow_Latn,train,dow,Latn,Doyayo,Niger-Congo,1741,2,8555,8.35KB,13619,13.30KB,1.000,0.000
dow_Latn_removed,train,dow,Latn,Doyayo,Niger-Congo,-,39,96362,94.10KB,25708,25.11KB,-,-
drg_Latn,train,drg,Latn,Rungus,Austronesian,22300,45,115075,112.38KB,65819,64.28KB,0.600,0.000
drg_Latn_removed,train,drg,Latn,Rungus,Austronesian,-,2423,1814494,1.73MB,822393,803.12KB,-,-
dru_Latn,train,dru,Latn,Rukai,Austronesian,19584,67,163443,159.61KB,78007,76.18KB,0.045,0.015
dru_Latn,test,dru,Latn,Rukai,Austronesian,725,2,6058,5.92KB,20419,19.94KB,-,-
dru_Latn_removed,train,dru,Latn,Rukai,Austronesian,-,2363,1334212,1.27MB,569091,555.75KB,-,-
dsb_Latn,train,dsb,Latn,Lower Sorbian,Indo-European,2214074,6798,13655860,13.02MB,6936147,6.61MB,0.000,0.247
dsb_Latn,test,dsb,Latn,Lower Sorbian,Indo-European,19368,55,118829,116.04KB,69228,67.61KB,-,-
dsb_Latn_removed,train,dsb,Latn,Lower Sorbian,Indo-European,-,155074,388438807,370.44MB,121858762,116.21MB,-,-
dtb_Latn,train,dtb,Latn,Labuk-Kinabatangan Kadazan,Austronesian,799,1,3786,3.70KB,20984,20.49KB,1.000,0.000
dtb_Latn_removed,train,dtb,Latn,Labuk-Kinabatangan Kadazan,Austronesian,-,1049,3222873,3.07MB,611049,596.73KB,-,-
dtp_Latn,train,dtp,Latn,Kadazan Dusun,Austronesian,805920,3931,4730534,4.51MB,1930066,1.84MB,0.017,0.026
dtp_Latn,test,dtp,Latn,Kadazan Dusun,Austronesian,6850,33,40187,39.25KB,33288,32.51KB,-,-
dtp_Latn_removed,train,dtp,Latn,Kadazan Dusun,Austronesian,-,3648,6422387,6.12MB,1608501,1.53MB,-,-
dts_Latn,train,dts,Latn,Toro So Dogon,Niger-Congo,305653,490,1489113,1.42MB,528059,515.68KB,0.998,0.000
dts_Latn,test,dts,Latn,Toro So Dogon,Niger-Congo,3622,7,17737,17.32KB,17703,17.29KB,-,-
dts_Latn_removed,train,dts,Latn,Toro So Dogon,Niger-Congo,-,1013,496084,484.46KB,208690,203.80KB,-,-
dty_Deva,train,dty,Deva,Dotyali,Indo-European,548,6,9359,9.14KB,14703,14.36KB,0.000,0.333
dty_Deva_removed,train,dty,Deva,Dotyali,Indo-European,-,4313,13234308,12.62MB,4245995,4.05MB,-,-
dua_Latn,train,dua,Latn,Duala,Niger-Congo,220204,317,1120945,1.07MB,418133,408.33KB,0.710,0.000
dua_Latn,test,dua,Latn,Duala,Niger-Congo,400,2,2064,2.02KB,9811,9.58KB,-,-
dua_Latn_removed,train,dua,Latn,Duala,Niger-Congo,-,1574,3407915,3.25MB,1025622,1001.58KB,-,-
due_Latn,train,due,Latn,Umiray Dumaget Agta,Austronesian,2427,2,11028,10.77KB,15491,15.13KB,1.000,0.000
due_Latn_removed,train,due,Latn,Umiray Dumaget Agta,Austronesian,-,389,378059,369.20KB,153945,150.34KB,-,-
dug_Latn,train,dug,Latn,Duruma,Niger-Congo,34023,27,184471,180.15KB,69684,68.05KB,0.630,0.000
dug_Latn,test,dug,Latn,Duruma,Niger-Congo,915,1,4998,4.88KB,6463,6.31KB,-,-
dug_Latn_removed,train,dug,Latn,Duruma,Niger-Congo,-,963,1184867,1.13MB,286050,279.35KB,-,-
duo_Latn,train,duo,Latn,Dupaninan Agta,Austronesian,23334,25,103828,101.39KB,43320,42.30KB,0.920,0.000
duo_Latn_removed,train,duo,Latn,Dupaninan Agta,Austronesian,-,271,1889024,1.80MB,205559,200.74KB,-,-
dur_Latn,train,dur,Latn,Dii,Niger-Congo,30833,28,162688,158.88KB,65122,63.60KB,1.000,0.000
dur_Latn,test,dur,Latn,Dii,Niger-Congo,1708,1,9001,8.79KB,7855,7.67KB,-,-
dur_Latn_removed,train,dur,Latn,Dii,Niger-Congo,-,23,26845,26.22KB,16970,16.57KB,-,-
dwr_Latn,train,dwr,Latn,Dawro,Afro-Asiatic,275197,277,1917660,1.83MB,677374,661.50KB,0.848,0.000
dwr_Latn,test,dwr,Latn,Dawro,Afro-Asiatic,2265,3,16425,16.04KB,17157,16.75KB,-,-
dwr_Latn_removed,train,dwr,Latn,Dawro,Afro-Asiatic,-,21310,96131384,91.68MB,18375777,17.52MB,-,-
dww_Latn,train,dww,Latn,Dawawa,Austronesian,451047,399,2567076,2.45MB,661844,646.33KB,0.987,0.000
dww_Latn,test,dww,Latn,Dawawa,Austronesian,8882,7,51402,50.20KB,31186,30.46KB,-,-
dww_Latn_removed,train,dww,Latn,Dawawa,Austronesian,-,280,2328358,2.22MB,475505,464.36KB,-,-
dyi_Latn,train,dyi,Latn,Djimini Senoufo,Niger-Congo,531060,461,2400901,2.29MB,774262,756.12KB,0.998,0.000
dyi_Latn,test,dyi,Latn,Djimini Senoufo,Niger-Congo,4533,4,20954,20.46KB,12840,12.54KB,-,-
dyi_Latn_removed,train,dyi,Latn,Djimini Senoufo,Niger-Congo,-,803,3708012,3.54MB,1212694,1.16MB,-,-
dyo_Latn,train,dyo,Latn,Jola-Fonyi,Niger-Congo,286756,461,1765366,1.68MB,653150,637.84KB,0.989,0.000
dyo_Latn,test,dyo,Latn,Jola-Fonyi,Niger-Congo,2103,4,13122,12.81KB,21264,20.77KB,-,-
dyo_Latn_removed,train,dyo,Latn,Jola-Fonyi,Niger-Congo,-,1885,936634,914.68KB,322734,315.17KB,-,-
dyu_Latn,train,dyu,Latn,Dyula,Niger-Congo,1364581,2752,5989252,5.71MB,2250070,2.15MB,0.972,0.000
dyu_Latn,test,dyu,Latn,Dyula,Niger-Congo,12189,31,53851,52.59KB,28704,28.03KB,-,-
dyu_Latn_removed,train,dyu,Latn,Dyula,Niger-Congo,-,36113,10348899,9.87MB,5395959,5.15MB,-,-
dzo_Tibt,train,dzo,Tibt,Dzongkha,Sino-Tibetan,9948273,19239,144543424,137.85MB,30521086,29.11MB,0.001,0.010
dzo_Tibt,test,dzo,Tibt,Dzongkha,Sino-Tibetan,124121,224,1890967,1.80MB,411967,402.31KB,-,-
dzo_Tibt_removed,train,dzo,Tibt,Dzongkha,Sino-Tibetan,-,52274,176292143,168.13MB,37206345,35.48MB,-,-
ebk_Latn,train,ebk,Latn,Eastern Bontok,Austronesian,42829,39,211581,206.62KB,75263,73.50KB,1.000,0.000
ebk_Latn_removed,train,ebk,Latn,Eastern Bontok,Austronesian,-,714,2430097,2.32MB,759231,741.44KB,-,-
efi_Latn,train,efi,Latn,Efik,Niger-Congo,3516470,4579,20217654,19.28MB,7375970,7.03MB,0.967,0.024
efi_Latn,test,efi,Latn,Efik,Niger-Congo,36433,46,210747,205.81KB,81767,79.85KB,-,-
efi_Latn_removed,train,efi,Latn,Efik,Niger-Congo,-,62744,44407580,42.35MB,24332459,23.21MB,-,-
eka_Latn,train,eka,Latn,Ekajuk,Niger-Congo,1387,2,5774,5.64KB,17494,17.08KB,1.000,0.000
eka_Latn_removed,train,eka,Latn,Ekajuk,Niger-Congo,-,671,55772189,53.19MB,5254967,5.01MB,-,-
ekk_Latn,train,ekk,Latn,Standard Estonian,Uralic,6564292000,10218587,43834195267,40.82GB,19704343263,18.35GB,-,-
ekk_Latn,test,ekk,Latn,Standard Estonian,Uralic,16252367,25786,108205903,103.19MB,49932831,47.62MB,-,-
ekk_Latn_removed,train,ekk,Latn,Standard Estonian,Uralic,-,29308204,41864590718,38.99GB,18706435266,17.42GB,-,-
eko_Latn,train,eko,Latn,Koti,Niger-Congo,120950,161,737268,719.99KB,272123,265.75KB,1.000,0.000
eko_Latn,test,eko,Latn,Koti,Niger-Congo,1502,2,9176,8.96KB,16202,15.82KB,-,-
eko_Latn_removed,train,eko,Latn,Koti,Niger-Congo,-,518,5490572,5.24MB,700734,684.31KB,-,-
ell_Grek,train,ell,Grek,Modern Greek (1453-),Indo-European,22827957288,47421073,238423993714,222.05GB,78555662908,73.16GB,-,-
ell_Grek,test,ell,Grek,Modern Greek (1453-),Indo-European,16047490,32936,167421084,159.67MB,56274823,53.67MB,-,-
ell_Grek_removed,train,ell,Grek,Modern Greek (1453-),Indo-European,-,97358213,309428468430,288.18GB,100719043719,93.80GB,-,-
emi_Latn,train,emi,Latn,Mussau-Emira,Austronesian,199727,211,1042978,1018.53KB,321401,313.87KB,1.000,0.000
emi_Latn,test,emi,Latn,Mussau-Emira,Austronesian,3094,3,16128,15.75KB,10681,10.43KB,-,-
emi_Latn_removed,train,emi,Latn,Mussau-Emira,Austronesian,-,679,4184869,3.99MB,1104691,1.05MB,-,-
eml_Latn,train,eml,Latn,Emilian-Romagnol,Indo-European,3848940,5501,18878482,18.00MB,9539791,9.10MB,0.000,0.686
eml_Latn,test,eml,Latn,Emilian-Romagnol,Indo-European,27037,46,131504,128.42KB,78480,76.64KB,-,-
eml_Latn_removed,train,eml,Latn,Emilian-Romagnol,Indo-European,-,417232,574567200,547.95MB,187442368,178.76MB,-,-
emp_Latn,train,emp,Latn,Northern Emberá,Chocoan,264019,376,1941296,1.85MB,568725,555.40KB,0.995,0.000
emp_Latn,test,emp,Latn,Northern Emberá,Chocoan,3441,4,25133,24.54KB,12844,12.54KB,-,-
emp_Latn_removed,train,emp,Latn,Northern Emberá,Chocoan,-,585,1384796,1.32MB,378307,369.44KB,-,-
enb_Latn,train,enb,Latn,Markweeta,Nilo-Saharan,280831,424,1882623,1.80MB,608567,594.30KB,0.981,0.000
enb_Latn,test,enb,Latn,Markweeta,Nilo-Saharan,3536,5,23588,23.04KB,18158,17.73KB,-,-
enb_Latn_removed,train,enb,Latn,Markweeta,Nilo-Saharan,-,2050,8131359,7.75MB,961348,938.82KB,-,-
enl_Latn,train,enl,Latn,Enlhet,Mascoyan,114948,15,793379,774.78KB,252461,246.54KB,0.200,0.000
enl_Latn_removed,train,enl,Latn,Enlhet,Mascoyan,-,5321,60434573,57.63MB,8650012,8.25MB,-,-
enm_Latn,train,enm,Latn,Middle English (1100-1500),Indo-European,161830,453,853377,833.38KB,430176,420.09KB,0.000,0.011
enm_Latn,test,enm,Latn,Middle English (1100-1500),Indo-European,5615,5,31055,30.33KB,19200,18.75KB,-,-
enm_Latn_removed,train,enm,Latn,Middle English (1100-1500),Indo-European,-,1766163,895751492,854.26MB,396844546,378.46MB,-,-
enq_Latn,train,enq,Latn,Enga,Trans-New Guinea,199471,199,1113997,1.06MB,340517,332.54KB,0.945,0.000
enq_Latn,test,enq,Latn,Enga,Trans-New Guinea,1716,2,9615,9.39KB,15750,15.38KB,-,-
enq_Latn_removed,train,enq,Latn,Enga,Trans-New Guinea,-,958,4624014,4.41MB,1263204,1.20MB,-,-
enx_Latn,train,enx,Latn,Enxet,Mascoyan,2200,4,13459,13.14KB,9731,9.50KB,0.750,0.250
enx_Latn_removed,train,enx,Latn,Enxet,Mascoyan,-,970,5558808,5.30MB,324017,316.42KB,-,-
epo_Latn,train,epo,Latn,Esperanto,Constructed language,239172962,335993,1303689462,1.21GB,596021566,568.41MB,0.004,0.241
epo_Latn,test,epo,Latn,Esperanto,Constructed language,2381201,3375,13059456,12.45MB,6020966,5.74MB,-,-
epo_Latn_removed,train,epo,Latn,Esperanto,Constructed language,-,3474475,1810668647,1.69GB,1020258675,972.99MB,-,-
eri_Latn,train,eri,Latn,Ogea,Trans-New Guinea,84959,78,415607,405.87KB,139728,136.45KB,0.987,0.000
eri_Latn_removed,train,eri,Latn,Ogea,Trans-New Guinea,-,1441,10179133,9.71MB,595903,581.94KB,-,-
ese_Latn,train,ese,Latn,Ese Ejja,Tacanan,157596,108,944274,922.14KB,261644,255.51KB,1.000,0.000
ese_Latn,test,ese,Latn,Ese Ejja,Tacanan,2192,1,13427,13.11KB,8709,8.50KB,-,-
ese_Latn_removed,train,ese,Latn,Ese Ejja,Tacanan,-,869,2832397,2.70MB,788021,769.55KB,-,-
esi_Latn,train,esi,Latn,North Alaskan Inupiatun,Eskimo-Aleut,6178,14,46668,45.57KB,33481,32.70KB,0.286,0.643
esi_Latn_removed,train,esi,Latn,North Alaskan Inupiatun,Eskimo-Aleut,-,2186,7223491,6.89MB,1185470,1.13MB,-,-
esk_Latn,train,esk,Latn,Northwest Alaska Inupiatun,Eskimo-Aleut,202689,138,1845719,1.76MB,661137,645.64KB,0.978,0.000
esk_Latn,test,esk,Latn,Northwest Alaska Inupiatun,Eskimo-Aleut,4532,5,41742,40.76KB,21533,21.03KB,-,-
esk_Latn_removed,train,esk,Latn,Northwest Alaska Inupiatun,Eskimo-Aleut,-,6533,31723033,30.25MB,3711256,3.54MB,-,-
ess_Latn,train,ess,Latn,Central Siberian Yupik,Eskimo-Aleut,1296,4,9246,9.03KB,14285,13.95KB,0.250,0.000
ess_Latn_removed,train,ess,Latn,Central Siberian Yupik,Eskimo-Aleut,-,3701,85147701,81.20MB,6975511,6.65MB,-,-
esu_Latn,train,esu,Latn,Central Yupik,Eskimo-Aleut,123606,239,864231,843.98KB,322467,314.91KB,0.837,0.008
esu_Latn,test,esu,Latn,Central Yupik,Eskimo-Aleut,2371,4,16292,15.91KB,15035,14.68KB,-,-
esu_Latn_removed,train,esu,Latn,Central Yupik,Eskimo-Aleut,-,9125,32226603,30.73MB,6045827,5.77MB,-,-
eto_Latn,train,eto,Latn,Eton (Cameroon),Niger-Congo,115,1,474,474.00B,6506,6.35KB,1.000,0.000
eto_Latn_removed,train,eto,Latn,Eton (Cameroon),Niger-Congo,-,124,1611571,1.54MB,168145,164.20KB,-,-
etr_Latn,train,etr,Latn,Edolo,Trans-New Guinea,98814,93,556137,543.10KB,157425,153.74KB,1.000,0.000
etr_Latn,test,etr,Latn,Edolo,Trans-New Guinea,3075,2,14578,14.24KB,9647,9.42KB,-,-
etr_Latn_removed,train,etr,Latn,Edolo,Trans-New Guinea,-,1228,6055852,5.78MB,1949272,1.86MB,-,-
etu_Latn,train,etu,Latn,Ejagham,Niger-Congo,4360,6,18952,18.51KB,13349,13.04KB,1.000,0.000
etu_Latn_removed,train,etu,Latn,Ejagham,Niger-Congo,-,55,504819,492.99KB,104601,102.15KB,-,-
eus_Latn,train,eus,Latn,Basque,Language isolate,711939889,1569434,4616894404,4.30GB,2036142953,1.90GB,-,-
eus_Latn,test,eus,Latn,Basque,Language isolate,7189272,15792,46541691,44.39MB,20942873,19.97MB,-,-
eus_Latn_removed,train,eus,Latn,Basque,Language isolate,-,5787141,7663517672,7.14GB,3592781372,3.35GB,-,-
eve_Cyrl,train,eve,Cyrl,Even,Tungusic,117490,134,1272291,1.21MB,403611,394.15KB,0.007,0.075
eve_Cyrl,test,eve,Cyrl,Even,Tungusic,1436,3,14876,14.53KB,14342,14.01KB,-,-
eve_Cyrl_removed,train,eve,Cyrl,Even,Tungusic,-,13276,18714177,17.85MB,6257230,5.97MB,-,-
ewe_Latn,train,ewe,Latn,Ewe,Niger-Congo,8152713,6973,39559156,37.73MB,16209788,15.46MB,0.888,0.014
ewe_Latn,test,ewe,Latn,Ewe,Niger-Congo,74390,78,364143,355.61KB,158691,154.97KB,-,-
ewe_Latn_removed,train,ewe,Latn,Ewe,Niger-Congo,-,500187,49811486,47.50MB,77786459,74.18MB,-,-
ewo_Latn,train,ewo,Latn,Ewondo,Niger-Congo,66124,211,302022,294.94KB,144049,140.67KB,0.137,0.000
ewo_Latn,test,ewo,Latn,Ewondo,Niger-Congo,760,3,3308,3.23KB,12016,11.73KB,-,-
ewo_Latn_removed,train,ewo,Latn,Ewondo,Niger-Congo,-,32435,113368274,108.12MB,20885265,19.92MB,-,-
ext_Latn,train,ext,Latn,Extremaduran,Indo-European,1556781,2956,8190143,7.81MB,3940555,3.76MB,0.000,0.407
ext_Latn,test,ext,Latn,Extremaduran,Indo-European,13350,29,71490,69.81KB,46142,45.06KB,-,-
ext_Latn_removed,train,ext,Latn,Extremaduran,Indo-European,-,95173,185179664,176.60MB,60415796,57.62MB,-,-
eza_Latn,train,eza,Latn,Ezaa,Niger-Congo,176108,432,881012,860.36KB,306037,298.86KB,0.998,0.000
eza_Latn,test,eza,Latn,Ezaa,Niger-Congo,215,3,1051,1.03KB,6518,6.37KB,-,-
eza_Latn_removed,train,eza,Latn,Ezaa,Niger-Congo,-,4580,4986308,4.76MB,1284037,1.22MB,-,-
faa_Latn,train,faa,Latn,Fasu,Trans-New Guinea,103265,98,658595,643.16KB,190880,186.41KB,0.939,0.000
faa_Latn_removed,train,faa,Latn,Fasu,Trans-New Guinea,-,565,1068870,1.02MB,362932,354.43KB,-,-
fad_Latn,train,fad,Latn,Wagi,Trans-New Guinea,4152,2,20267,19.79KB,9907,9.67KB,1.000,0.000
fad_Latn_removed,train,fad,Latn,Wagi,Trans-New Guinea,-,1144,1622045,1.55MB,360499,352.05KB,-,-
fai_Latn,train,fai,Latn,Faiwol,Trans-New Guinea,299997,655,1507179,1.44MB,526353,514.02KB,1.000,0.000
fai_Latn,test,fai,Latn,Faiwol,Trans-New Guinea,3857,5,19022,18.58KB,12535,12.24KB,-,-
fai_Latn_removed,train,fai,Latn,Faiwol,Trans-New Guinea,-,4621,3686040,3.52MB,1170480,1.12MB,-,-
fal_Latn,train,fal,Latn,South Fali,Niger-Congo,288431,469,1232647,1.18MB,468579,457.60KB,1.000,0.000
fal_Latn,test,fal,Latn,South Fali,Niger-Congo,623,1,2787,2.72KB,16796,16.40KB,-,-
fal_Latn_removed,train,fal,Latn,South Fali,Niger-Congo,-,1276,785629,767.22KB,328181,320.49KB,-,-
fan_Latn,train,fan,Latn,Fang (Equatorial Guinea),Niger-Congo,8007,54,36560,35.70KB,26794,26.17KB,0.926,0.000
fan_Latn,test,fan,Latn,Fang (Equatorial Guinea),Niger-Congo,61,1,264,264.00B,5504,5.38KB,-,-
fan_Latn_removed,train,fan,Latn,Fang (Equatorial Guinea),Niger-Congo,-,3357,1908364,1.82MB,724147,707.17KB,-,-
fao_Latn,train,fao,Latn,Faroese,Indo-European,101180563,291151,591504161,564.10MB,283315608,270.19MB,0.004,0.043
fao_Latn,test,fao,Latn,Faroese,Indo-European,1138940,2991,6658588,6.35MB,3214943,3.07MB,-,-
fao_Latn_removed,train,fao,Latn,Faroese,Indo-European,-,588546,721570434,688.14MB,311074021,296.66MB,-,-
far_Latn,train,far,Latn,Fataleka,Austronesian,65458,51,277395,270.89KB,100112,97.77KB,0.980,0.000
far_Latn,test,far,Latn,Fataleka,Austronesian,961,1,4142,4.04KB,5772,5.64KB,-,-
far_Latn_removed,train,far,Latn,Fataleka,Austronesian,-,147,175591,171.48KB,63774,62.28KB,-,-
fas_Arab,train,fas,Arab,Persian,Indo-European,39705799658,58843652,327079306116,304.62GB,102358723163,95.33GB,-,-
fas_Arab,test,fas,Arab,Persian,Indo-European,29580060,43470,243542849,232.26MB,77844721,74.24MB,-,-
fas_Arab_removed,train,fas,Arab,Persian,Indo-European,-,78775271,297866451186,277.41GB,88869755850,82.77GB,-,-
fat_Latn,train,fat,Latn,Fanti,Atlantic-Congo,269490,345,1324963,1.26MB,538696,526.07KB,0.667,0.154
fat_Latn,test,fat,Latn,Fanti,Atlantic-Congo,549,4,2685,2.62KB,8149,7.96KB,-,-
fat_Latn_removed,train,fat,Latn,Fanti,Atlantic-Congo,-,96324,234980593,224.09MB,72463601,69.11MB,-,-
ffm_Latn,train,ffm,Latn,Maasina Fulfulde,Niger-Congo,594016,614,3149126,3.00MB,1350988,1.29MB,0.158,0.007
ffm_Latn,test,ffm,Latn,Maasina Fulfulde,Niger-Congo,2433,5,13203,12.89KB,24068,23.50KB,-,-
ffm_Latn_removed,train,ffm,Latn,Maasina Fulfulde,Niger-Congo,-,7412,12240532,11.67MB,3021964,2.88MB,-,-
fij_Latn,train,fij,Latn,Fijian,Austronesian,10933833,15331,50193257,47.87MB,19192661,18.30MB,0.434,0.033
fij_Latn,test,fij,Latn,Fijian,Austronesian,86716,135,404335,394.86KB,164390,160.54KB,-,-
fij_Latn_removed,train,fij,Latn,Fijian,Austronesian,-,571112,66415932,63.34MB,104280141,99.45MB,-,-
fil_Latn,train,fil,Latn,Filipino,Austronesian,1636238017,2349050,8728698096,8.13GB,3586228404,3.34GB,-,-
fil_Latn,test,fil,Latn,Filipino,Austronesian,13958902,20096,74361097,70.92MB,31963848,30.48MB,-,-
fil_Latn_removed,train,fil,Latn,Filipino,Austronesian,-,3347597,10006894345,9.32GB,4045902936,3.77GB,-,-
fin_Latn,train,fin,Latn,Finnish,Uralic,20343096672,36710816,153578789445,143.03GB,66505424415,61.94GB,-,-
fin_Latn,test,fin,Latn,Finnish,Uralic,16678284,30398,125911361,120.08MB,57195191,54.55MB,-,-
fin_Latn_removed,train,fin,Latn,Finnish,Uralic,-,78978641,157658848015,146.83GB,67258162979,62.64GB,-,-
fit_Latn,train,fit,Latn,Tornedalen Finnish,Uralic,2408425,5904,16070178,15.33MB,7813581,7.45MB,0.000,0.050
fit_Latn,test,fit,Latn,Tornedalen Finnish,Uralic,21052,41,133900,130.76KB,83244,81.29KB,-,-
fit_Latn_removed,train,fit,Latn,Tornedalen Finnish,Uralic,-,167354,452884984,431.90MB,124626289,118.85MB,-,-
fkv_Latn,train,fkv,Latn,Kven Finnish,Uralic,562398,1155,3661777,3.49MB,1610466,1.54MB,0.000,0.044
fkv_Latn,test,fkv,Latn,Kven Finnish,Uralic,4222,10,28420,27.75KB,20720,20.23KB,-,-
fkv_Latn_removed,train,fkv,Latn,Kven Finnish,Uralic,-,15146,66995589,63.89MB,14974917,14.28MB,-,-
fmu_Deva,train,fmu,Deva,Far Western Muria,Dravidian,5012,13,72278,70.58KB,29826,29.13KB,0.000,0.000
fmu_Deva_removed,train,fmu,Deva,Far Western Muria,Dravidian,-,102,257312,251.28KB,84305,82.33KB,-,-
fon_Latn,train,fon,Latn,Fon,Niger-Congo,1434180,1639,6865317,6.55MB,2591213,2.47MB,0.673,0.081
fon_Latn,test,fon,Latn,Fon,Niger-Congo,10947,11,51336,50.13KB,27302,26.66KB,-,-
fon_Latn_removed,train,fon,Latn,Fon,Niger-Congo,-,24190,19513477,18.61MB,9130885,8.71MB,-,-
for_Latn,train,for,Latn,Fore,Trans-New Guinea,66195,78,394778,385.53KB,136858,133.65KB,1.000,0.000
for_Latn_removed,train,for,Latn,Fore,Trans-New Guinea,-,255,633735,618.88KB,202561,197.81KB,-,-
fra_Latn,train,fra,Latn,French,Indo-European,220662584640,360058973,1220202265605,1.11TB,539897427722,502.82GB,-,-
fra_Latn,test,fra,Latn,French,Indo-European,26793655,44245,148212029,141.35MB,67031593,63.93MB,-,-
fra_Latn_removed,train,fra,Latn,French,Indo-European,-,596844583,1537626728505,1.40TB,630893792280,587.57GB,-,-
frd_Latn,train,frd,Latn,Fordata,Austronesian,28619,29,135188,132.02KB,55232,53.94KB,0.931,0.000
frd_Latn,test,frd,Latn,Fordata,Austronesian,900,1,4236,4.14KB,5966,5.83KB,-,-
frd_Latn_removed,train,frd,Latn,Fordata,Austronesian,-,256,855512,835.46KB,169175,165.21KB,-,-
fro_Latn,train,fro,Latn,Old French (842-ca. 1400),Indo-European,9703178,4072,46676318,44.51MB,19892008,18.97MB,0.000,0.286
fro_Latn,test,fro,Latn,Old French (842-ca. 1400),Indo-European,90083,39,432950,422.80KB,187212,182.82KB,-,-
fro_Latn_removed,train,fro,Latn,Old French (842-ca. 1400),Indo-European,-,623367,266259651,253.92MB,143547405,136.90MB,-,-
frp_Latn,train,frp,Latn,Arpitan,Indo-European,2823569,4357,15225119,14.52MB,6864414,6.55MB,0.000,0.211
frp_Latn,test,frp,Latn,Arpitan,Indo-European,10120,22,53643,52.39KB,38821,37.91KB,-,-
frp_Latn_removed,train,frp,Latn,Arpitan,Indo-European,-,19193296,61865048924,57.62GB,18994736299,17.69GB,-,-
frr_Latn,train,frr,Latn,Northern Frisian,Indo-European,1526486,6455,8241874,7.86MB,4342619,4.14MB,0.001,0.682
frr_Latn,test,frr,Latn,Northern Frisian,Indo-European,14819,62,79762,77.89KB,51715,50.50KB,-,-
frr_Latn_removed,train,frr,Latn,Northern Frisian,Indo-European,-,126114,201851534,192.50MB,70285993,67.03MB,-,-
fry_Latn,train,fry,Latn,Western Frisian,Indo-European,130312086,349743,693772624,661.63MB,332213233,316.82MB,0.000,0.068
fry_Latn,test,fry,Latn,Western Frisian,Indo-European,1167572,3383,6205972,5.92MB,3086581,2.94MB,-,-
fry_Latn_removed,train,fry,Latn,Western Frisian,Indo-European,-,540193,676928151,645.57MB,300281967,286.37MB,-,-
fub_Latn,train,fub,Latn,Adamawa Fulfulde,Niger-Congo,34342,64,196112,191.52KB,92677,90.50KB,0.625,0.000
fub_Latn_removed,train,fub,Latn,Adamawa Fulfulde,Niger-Congo,-,9118,8118901,7.74MB,2745034,2.62MB,-,-
fud_Latn,train,fud,Latn,East Futuna,Austronesian,1163,7,5093,4.97KB,9535,9.31KB,0.571,0.000
fud_Latn_removed,train,fud,Latn,East Futuna,Austronesian,-,478,2066153,1.97MB,401840,392.42KB,-,-
fue_Latn,train,fue,Latn,Borgu Fulfulde,Niger-Congo,19001,25,97829,95.54KB,54932,53.64KB,1.000,0.000
fue_Latn,test,fue,Latn,Borgu Fulfulde,Niger-Congo,402,1,2028,1.98KB,13384,13.07KB,-,-
fue_Latn_removed,train,fue,Latn,Borgu Fulfulde,Niger-Congo,-,1156,2614902,2.49MB,610850,596.53KB,-,-
fuf_Latn,train,fuf,Latn,Pular,Niger-Congo,991709,1541,5289005,5.04MB,2120693,2.02MB,0.168,0.016
fuf_Latn,test,fuf,Latn,Pular,Niger-Congo,12311,18,67102,65.53KB,44729,43.68KB,-,-
